Date,Open,High,Low,Close,Volume,Adj Close
2015-12-18,623.07,623.07,623.07,623.07,000,623.07
2015-12-17,622.23,622.23,622.23,622.23,000,622.23
2015-12-16,601.20,601.20,601.20,601.20,000,601.20
2015-12-15,583.18,583.18,583.18,583.18,000,583.18
2015-12-14,590.26,590.26,590.26,590.26,000,590.26
2015-12-11,578.30,578.30,578.30,578.30,000,578.30
2015-12-10,576.51,576.51,576.51,576.51,000,576.51
2015-12-09,559.79,559.79,559.79,559.79,000,559.79
2015-12-08,581.90,581.90,581.90,581.90,000,581.90
2015-12-07,608.85,608.85,608.85,608.85,000,608.85
2015-12-04,607.56,607.56,607.56,607.56,000,607.56
2015-12-03,617.39,617.39,617.39,617.39,000,617.39
2015-12-02,626.18,626.18,626.18,626.18,000,626.18
2015-12-01,639.33,639.33,639.33,639.33,000,639.33
2015-11-30,634.82,634.82,634.82,634.82,000,634.82
2015-11-27,649.79,649.79,649.79,649.79,000,649.79
2015-11-26,642.77,642.77,642.77,642.77,000,642.77
2015-11-25,642.82,642.82,642.82,642.82,000,642.82
2015-11-24,648.12,648.12,648.12,648.12,000,648.12
2015-11-23,643.51,643.51,643.51,643.51,000,643.51
2015-11-20,658.84,658.84,658.84,658.84,000,658.84
2015-11-19,670.45,670.45,670.45,670.45,000,670.45
2015-11-18,671.82,671.82,671.82,671.82,000,671.82
2015-11-17,657.88,657.88,657.88,657.88,000,657.88
2015-11-16,643.85,643.85,643.85,643.85,000,643.85
2015-11-13,652.61,652.61,652.61,652.61,000,652.61
2015-11-12,659.18,659.18,659.18,659.18,000,659.18
2015-11-11,667.88,667.88,667.88,667.88,000,667.88
2015-11-10,672.19,672.19,672.19,672.19,000,672.19
2015-11-09,683.49,683.49,683.49,683.49,000,683.49
2015-11-06,677.43,677.43,677.43,677.43,000,677.43
2015-11-05,686.59,686.59,686.59,686.59,000,686.59
2015-11-04,708.59,708.59,708.59,708.59,000,708.59
2015-11-03,718.14,718.14,718.14,718.14,000,718.14
2015-11-02,722.80,722.80,722.80,722.80,000,722.80
2015-10-30,701.22,701.22,701.22,701.22,000,701.22
2015-10-29,715.77,715.77,715.77,715.77,000,715.77
2015-10-28,727.38,727.38,727.38,727.38,000,727.38
2015-10-27,727.38,727.38,727.38,727.38,000,727.38
2015-10-26,718.04,718.04,718.04,718.04,000,718.04
2015-10-23,712.49,712.49,712.49,712.49,000,712.49
2015-10-22,710.22,710.22,710.22,710.22,000,710.22
2015-10-21,698.93,698.93,698.93,698.93,000,698.93
2015-10-20,693.10,693.10,693.10,693.10,000,693.10
2015-10-19,685.11,685.11,685.11,685.11,000,685.11
2015-10-16,685.95,685.95,685.95,685.95,000,685.95
2015-10-15,694.48,694.48,694.48,694.48,000,694.48
2015-10-14,676.13,676.13,676.13,676.13,000,676.13
2015-10-13,678.30,678.30,678.30,678.30,000,678.30
2015-10-12,680.75,680.75,680.75,680.75,000,680.75
2015-10-09,676.93,676.93,676.93,676.93,000,676.93
2015-10-08,678.05,678.05,678.05,678.05,000,678.05
2015-10-07,680.10,680.10,680.10,680.10,000,680.10
2015-10-06,670.69,670.69,670.69,670.69,000,670.69
2015-10-05,667.09,667.09,667.09,667.09,000,667.09
2015-10-02,640.99,640.99,640.99,640.99,000,640.99
2015-10-01,642.71,642.71,642.71,642.71,000,642.71
2015-09-30,654.20,654.20,654.20,654.20,000,654.20
2015-09-29,650.33,650.33,650.33,650.33,000,650.33
2015-09-28,654.70,654.70,654.70,654.70,000,654.70
2015-09-25,675.17,675.17,675.17,675.17,000,675.17
2015-09-24,667.82,667.82,667.82,667.82,000,667.82
2015-09-23,668.54,668.54,668.54,668.54,000,668.54
2015-09-22,677.47,677.47,677.47,677.47,000,677.47
2015-09-21,693.54,693.54,693.54,693.54,000,693.54
2015-09-18,697.57,697.57,697.57,697.57,000,697.57
2015-09-17,692.30,692.30,692.30,692.30,000,692.30
2015-09-16,692.44,692.44,692.44,692.44,000,692.44
2015-09-15,682.17,682.17,682.17,682.17,000,682.17
2015-09-14,673.00,673.00,673.00,673.00,000,673.00
2015-09-11,673.84,673.84,673.84,673.84,000,673.84
2015-09-10,675.10,675.10,675.10,675.10,000,675.10
2015-09-09,669.26,669.26,669.26,669.26,000,669.26
2015-09-08,667.47,667.47,667.47,667.47,000,667.47
2015-09-07,655.33,655.33,655.33,655.33,000,655.33
2015-09-04,646.62,646.62,646.62,646.62,000,646.62
2015-09-03,649.05,649.05,649.05,649.05,000,649.05
2015-09-02,626.46,626.46,626.46,626.46,000,626.46
2015-09-01,621.51,621.51,621.51,621.51,000,621.51
2015-08-31,624.20,624.20,624.20,624.20,000,624.20
2015-08-28,633.81,633.81,633.81,633.81,000,633.81
2015-08-27,627.02,627.02,627.02,627.02,000,627.02
2015-08-26,622.72,622.72,622.72,622.72,000,622.72
2015-08-25,621.70,621.70,621.70,621.70,000,621.70
