AthensIndex,BrusselsStockExch,GermanyDAX,HangSeng,JakartaIndex,LondonFTSE,MexicoIndex,NewZealandSE,OsakaStockEx,SaoPaoloIndex,Sensex,SeoulComposite,ShanghaiComposite,SwissMarket,TaiwanWeighted,TelAvivSE,TorontoIndex,ViennaIndex
622.23,3676.090088,10738.120117,21872.060547,21872.060547,6102.5,43503.519531,6088.330078,19353.560547,45261.0,25803.779297,1977.959961,3580.0,8656.299805,8319.669922,1312.079956,13009.900391,2366.189941
601.2,3615.449951,10469.259766,21701.210938,21701.210938,6061.200195,43429.71875,6070.939941,19049.910156,45016.0,25494.369141,1969.400024,3516.19,8604.099609,8184.660156,1295.640015,13166.099609,2388.899902
583.18,3582.179932,10450.379883,21274.369141,21274.369141,6017.799805,42905.199219,6040.549805,18565.900391,44872.0,25320.439453,1932.969971,3510.35,8581.599609,8073.350098,1301.900024,12919.599609,2352.429932
590.26,3492.899902,10139.339844,21309.849609,21309.849609,5874.100098,41901.960938,6035.25,18883.419922,44747.0,25150.349609,1927.819946,3520.67,8375.299805,8040.160156,1288.869995,12695.5,2292.320068
576.51,3577.97998,10598.929688,21704.609375,21704.609375,6088.100098,42447.769531,6040.560059,19046.550781,45631.0,25252.320312,1952.069946,3455.5,8632.599609,8216.169922,1319.040039,13016.599609,2387.75
559.79,3585.389893,10592.490234,21803.759766,21803.759766,6126.700195,42398.058594,6053.549805,19301.070312,46108.0,25036.050781,1948.23999,3472.44,8625.0,8229.620117,1329.380005,12937.599609,2373.399902
608.85,3667.120117,10886.089844,22203.220703,22203.220703,6223.5,42655.238281,6064.430176,19698.150391,45223.0,25530.109375,1963.670044,3536.93,8825.299805,8454.269531,1341.060059,13042.799805,2430.350098
617.39,3647.709961,10789.240234,22417.009766,22417.009766,6275.0,43027.300781,6125.669922,19939.900391,46393.0,25886.619141,1994.069946,3584.82,8852.099609,8456.05957,1347.969971,13324.700195,2453.959961
626.18,3732.939941,11190.019531,22479.689453,22479.689453,6420.899902,43417.050781,6143.310059,19938.130859,44915.0,26117.849609,2009.290039,3536.91,9016.599609,8457.400391,1358.859985,13463.799805,2488.199951
639.33,3744.100098,11261.240234,22381.349609,22381.349609,6395.700195,43984.898438,6150.680176,20012.400391,45047.0,26169.410156,2023.930054,3456.31,8993.200195,8463.299805,1356.530029,13636.099609,2501.600098
634.82,3760.889893,11382.230469,21996.419922,21996.419922,6356.100098,43418.550781,6100.149902,19747.470703,45120.0,26145.669922,1991.969971,3445.4,8993.099609,8320.610352,1345.369995,13469.799805,2488.620117
642.77,3752.709961,11320.769531,22488.939453,22488.939453,6393.100098,44374.519531,6087.899902,19944.410156,47146.0,25958.630859,2030.680054,3635.55,8968.299805,8484.900391,1346.130005,13425.200195,2469.159912
648.12,3672.449951,10933.990234,22587.630859,22587.630859,6277.200195,44576.230469,6101.27002,19924.890625,48284.0,25775.740234,2016.290039,3616.11,8808.5,8400.139648,1343.540039,13407.799805,2454.01001
670.45,3701.840088,11085.44043,22500.220703,22500.220703,6329.899902,44620.601562,5995.25,19859.810547,48139.0,25841.919922,1988.910034,3617.06,9008.700195,8477.200195,1361.27002,13473.799805,2490.790039
671.82,3683.379883,10959.950195,22188.259766,22188.259766,6279.0,44505.589844,5979.810059,19649.179688,47436.0,25482.519531,1962.880005,3568.47,8991.0,8340.469727,1357.829956,13400.0,2465.120117
657.88,3695.040039,10971.040039,22264.25,22264.25,6268.799805,44184.648438,5967.600098,19630.630859,47248.0,25864.470703,1963.579956,3604.8,8952.599609,8419.419922,1350.819946,13280.400391,2445.370117
667.88,3655.689941,10907.870117,22352.169922,22352.169922,6297.200195,44347.910156,6013.529785,19691.390625,47065.0,25866.949219,1997.27002,3650.25,8884.599609,8415.009766,1363.290039,13341.900391,2466.659912
672.19,3612.969971,10832.519531,22401.699219,22401.699219,6275.299805,44359.890625,6002.810059,19671.259766,46179.0,25743.259766,1996.589966,3640.49,8849.799805,8536.900391,1353.630005,13411.599609,2476.5
683.49,3623.840088,10815.450195,22726.769531,22726.769531,6295.200195,44479.230469,6047.890137,19642.740234,46195.0,26121.400391,2025.699951,3646.88,8876.700195,8642.480469,1353.449951,13482.599609,2476.620117
686.59,3600.23999,10887.740234,23051.039062,23051.039062,6364.899902,45195.648438,6073.629883,19116.410156,48047.0,26304.199219,2049.409912,3522.82,8990.200195,8850.179688,1368.939941,13558.799805,2421.669922
708.59,3609.709961,10845.240234,23053.570312,23053.570312,6412.899902,45373.171875,6071.209961,18926.910156,47710.0,26552.919922,2052.77002,3459.64,8951.799805,8857.019531,1371.369995,13661.799805,2432.560059
